Date,DailyRevenue,DailyOrders,DailyCustomers,DailyQuantity,AvgOrderValue,DayNumber
2010-12-01,46269.29,121,95,24208,382.390826446281,0
2010-12-02,47298.53,137,99,31141,345.24474452554745,1
2010-12-03,23576.01,57,50,11822,413.6142105263158,2
2010-12-05,31315.64,87,75,16370,359.94988505747125,3
2010-12-06,31114.21,94,82,16269,331.0022340425532,4
2010-12-07,53579.31,71,65,19432,754.6381690140845,5
2010-12-08,38896.86,111,99,21523,350.4221621621622,6
2010-12-09,37738.9,97,90,17388,389.06082474226804,7
2010-12-10,33072.28,71,53,16020,465.80676056338024,8
2010-12-12,17305.77,43,42,10599,402.4597674418605,9
2010-12-13,27501.43,64,59,15329,429.70984375,10
2010-12-14,29281.04,80,72,17727,366.01300000000003,11
2010-12-15,30294.91,69,66,18379,439.0566666666667,12
2010-12-16,48784.08,113,98,29785,431.71752212389384,13
2010-12-17,19146.56,55,51,11362,348.11927272727274,14
2010-12-19,7345.39,18,17,3735,408.07722222222225,15
2010-12-20,19390.96,50,41,13432,387.81919999999997,16
2010-12-21,15783.66,27,23,11061,584.58,17
2010-12-22,4841.52,14,13,3071,345.8228571428572,18
2010-12-23,5519.37,17,15,3197,324.6688235294118,19
2011-01-04,11914.31,35,34,6947,340.40885714285713,20
2011-01-05,28658.68,48,45,18363,597.0558333333333,21
2011-01-06,34268.54,46,45,21532,744.9682608695653,22
2011-01-07,23271.79,47,45,15095,495.1444680851064,23
2011-01-09,15638.2,48,48,8197,325.79583333333335,24
2011-01-10,15142.13,34,32,9375,445.3567647058823,25
2011-01-11,59890.03,53,47,26065,1130.0005660377358,26
2011-01-12,16877.94,42,42,7883,401.85571428571427,27
2011-01-13,14885.31,41,41,8300,363.05634146341464,28
2011-01-14,39262.02,38,37,21093,1033.211052631579,29
2011-01-16,7239.56,25,22,4202,289.5824,30
2011-01-17,16363.35,46,45,8701,355.725,31
2011-01-18,87160.71,32,31,80584,2723.7721875,32
2011-01-19,21450.98,33,33,15885,650.0296969696969,33
2011-01-20,15104.18,34,30,8176,444.2405882352941,34
2011-01-21,24133.76,33,31,12692,731.3260606060605,35
2011-01-23,10292.25,27,27,5235,381.19444444444446,36
2011-01-24,17391.37,43,42,9588,404.450465116279,37
2011-01-25,23887.3,58,56,14507,411.84999999999997,38
2011-01-26,17222.82,53,49,10444,324.9588679245283,39
2011-01-27,22063.03,50,50,10944,441.26059999999995,40
2011-01-28,17067.5,37,36,9165,461.2837837837838,41
2011-01-30,6615.75,24,22,3431,275.65625,42
2011-01-31,18440.13,57,50,12404,323.511052631579,43
2011-02-01,26148.5,58,57,15003,450.83620689655174,44
2011-02-02,16996.23,55,54,8925,309.02236363636365,45
2011-02-03,21814.0,44,43,15415,495.77272727272725,46
2011-02-04,17846.31,45,41,11254,396.5846666666667,47
2011-02-06,3457.11,11,11,2048,314.2827272727273,48
2011-02-07,23415.01,38,35,8582,616.1844736842105,49
2011-02-08,13982.03,38,37,8681,367.9481578947369,50
2011-02-09,11658.03,23,22,6109,506.87086956521745,51
2011-02-10,14144.51,40,39,11781,353.61275,52
2011-02-11,18584.46,38,34,9578,489.0647368421052,53
2011-02-13,5713.63,20,20,2756,285.6815,54
2011-02-14,22847.99,36,36,12336,634.666388888889,55
2011-02-15,37744.06,53,47,22102,712.152075471698,56
2011-02-16,23373.22,62,56,15761,376.9874193548387,57
2011-02-17,17467.79,54,49,12749,323.4775925925926,58
2011-02-18,14330.06,34,33,8635,421.47235294117644,59
2011-02-20,9621.289999999999,26,26,5349,370.0496153846153,60
2011-02-21,32100.04,32,31,20413,1003.12625,61
2011-02-22,29149.98,50,47,20905,582.9996,62
2011-02-23,19228.07,53,49,12153,362.79377358490564,63
2011-02-24,21432.89,53,52,11562,404.3941509433962,64
2011-02-25,18178.69,45,42,10029,403.97088888888885,65
2011-02-27,9508.5,33,31,4869,288.1363636363636,66
2011-02-28,14803.62,51,49,8389,290.26705882352945,67
2011-03-01,22032.37,54,52,11558,408.0068518518518,68
2011-03-02,18686.99,42,40,8613,444.9283333333334,69
2011-03-03,32644.05,47,46,19160,694.5542553191489,70
2011-03-04,17145.62,45,38,12934,381.01377777777776,71
2011-03-06,9997.42,26,24,5048,384.5161538461538,72
2011-03-07,20202.18,57,48,11107,354.4242105263158,73
2011-03-08,22128.01,44,41,13830,502.90931818181815,74
2011-03-09,20215.92,51,47,11497,396.3905882352941,75
2011-03-10,24431.72,52,46,15223,469.84076923076924,76
2011-03-11,17385.66,45,40,9240,386.348,77
2011-03-13,4100.04,16,16,2722,256.2525,78
2011-03-14,25867.4,48,41,16748,538.9041666666667,79
2011-03-15,14882.43,41,40,7934,362.9860975609756,80
2011-03-16,21525.02,50,46,12878,430.5004,81
2011-03-17,31861.94,56,51,19041,568.9632142857142,82
2011-03-18,23108.74,52,48,13238,444.3988461538462,83
2011-03-20,19877.8,57,56,13622,348.73333333333335,84
2011-03-21,16021.05,48,47,9454,333.77187499999997,85
2011-03-22,18775.29,40,40,13488,469.38225,86
2011-03-23,20941.8,59,55,13908,354.9457627118644,87
2011-03-24,36331.14,67,62,18225,542.2558208955223,88
2011-03-25,26578.75,52,45,13299,511.1298076923077,89
2011-03-27,9173.45,31,31,4526,295.9177419354839,90
2011-03-28,19554.16,57,52,11597,343.05543859649123,91
2011-03-29,37190.52,50,46,24183,743.8104,92
2011-03-30,28989.77,66,63,20126,439.2389393939394,93
2011-03-31,25613.61,59,57,14979,434.12898305084747,94
2011-04-01,24073.22,67,58,18298,359.3017910447761,95
2011-04-03,6918.5,19,18,5667,364.13157894736844,96
2011-04-04,22664.93,51,47,12856,444.41039215686277,97
2011-04-05,27583.07,45,44,15610,612.9571111111111,98
2011-04-06,12722.32,37,36,8025,343.84648648648647,99
2011-04-07,16706.07,61,57,10091,273.87,100
2011-04-08,20680.85,64,62,12291,323.13828125,101
2011-04-10,9868.98,32,31,5629,308.405625,102
2011-04-11,19965.69,59,54,13124,338.4015254237288,103
2011-04-12,23679.14,59,53,14604,401.3413559322034,104
2011-04-13,24479.53,60,54,18762,407.99216666666666,105
2011-04-14,35330.7,82,75,18509,430.8621951219512,106
2011-04-15,17726.48,41,40,11091,432.3531707317073,107
2011-04-17,12689.5,42,39,8181,302.1309523809524,108
2011-04-18,43447.74,61,55,26212,712.2580327868852,109
2011-04-19,18508.04,53,52,12903,349.20830188679247,110
2011-04-20,25610.95,62,58,17850,413.0798387096774,111
2011-04-21,27512.52,71,64,17070,387.50028169014087,112
2011-04-26,21449.11,59,55,14471,363.5442372881356,113
2011-04-27,23396.28,61,56,17630,383.5455737704918,114
2011-04-28,20668.29,54,49,13107,382.74611111111113,115
2011-05-01,6829.66,18,18,3811,379.42555555555555,116
2011-05-03,20591.71,57,49,11134,361.2580701754386,117
2011-05-04,27200.0,62,55,17367,438.7096774193548,118
2011-05-05,25085.37,82,76,16220,305.9191463414634,119
2011-05-06,30604.7,77,64,18280,397.4636363636364,120
2011-05-08,18758.4,63,58,10695,297.752380952381,121
2011-05-09,21516.41,63,59,11676,341.53031746031746,122
2011-05-10,29397.99,69,62,16390,426.05782608695654,123
2011-05-11,31707.7,73,56,18430,434.35205479452054,124
2011-05-12,58476.49,82,68,37121,713.1279268292683,125
2011-05-13,25759.83,67,52,13287,384.4750746268657,126
2011-05-15,9658.75,30,29,4768,321.9583333333333,127
2011-05-16,35622.7,63,51,15130,565.4396825396825,128
2011-05-17,45951.090000000004,71,55,25195,647.1984507042254,129
2011-05-18,32656.87,71,62,18625,459.95591549295773,130
2011-05-19,31319.51,92,82,17167,340.4294565217391,131
2011-05-20,25297.66,69,58,15118,366.6327536231884,132
2011-05-22,23961.09,61,57,12734,392.80475409836066,133
2011-05-23,27901.81,61,54,17514,457.40672131147545,134
2011-05-24,32390.48,62,53,14574,522.4270967741935,135
2011-05-25,21620.93,60,52,12430,360.34883333333335,136
2011-05-26,32592.38,61,50,16137,534.3013114754099,137
2011-05-27,20972.72,56,49,14825,374.5128571428572,138
2011-05-29,7322.3,24,20,4120,305.09583333333336,139
2011-05-31,17736.35,51,48,10588,347.77156862745096,140
2011-06-01,15299.94,37,35,9574,413.5118918918919,141
2011-06-02,28064.56,42,33,13713,668.2038095238096,142
2011-06-03,14981.26,41,37,7245,365.39658536585364,143
2011-06-05,25072.54,67,62,13468,374.2170149253731,144
2011-06-06,16065.3,55,53,9118,292.0963636363636,145
2011-06-07,33859.51,71,68,17692,476.89450704225357,146
2011-06-08,29680.75,82,71,18819,361.9603658536585,147
2011-06-09,42435.82,82,76,27160,517.51,148
