StockCode,Description,TotalRevenue,AvgRevenue,OrderCount,TotalQuantity,AvgPrice,MinPrice,MaxPrice,UniqueCustomers,RevenuePerCustomer,RevenueShare,CumulativeRevenueShare,ABC_Category
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,168469.6,1,80995,2.08,2.08,2.08,1,168469.6,1.921,1.9214322796563408,A
22423,REGENCY CAKESTAND 3 TIER,142592.95,82.76,1723,12402,12.48,4.0,24.96,881,161.85351872871738,1.626,3.5477357610050393,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100603.5,49.44,2035,36782,2.89,2.4,5.79,856,117.52745327102804,1.147,4.695140469904489,A
85099B,JUMBO BAG RED RETROSPOT,85220.78,52.67,1618,46181,2.02,1.65,4.13,635,134.2059527559055,0.972,5.667101925202606,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73,411.2,198,77916,1.22,1.04,1.25,138,589.976304347826,0.929,6.5956773662677275,A
47566,PARTY BUNTING,68844.33,49.32,1396,15291,4.88,3.75,10.79,708,97.23775423728814,0.785,7.380861862065862,A
84879,ASSORTED COLOUR BIRD ORNAMENT,56580.34,40.18,1408,35362,1.68,1.45,1.69,678,83.45182890855456,0.645,8.026172895450703,A
23084,RABBIT NIGHT LIGHT,51346.2,60.98,842,27202,2.01,1.67,4.13,450,114.10266666666666,0.586,8.61178742838537,A
22502,PICNIC BASKET WICKER SMALL,47366.2,198.18,239,1488,11.2,2.0,649.5,175,270.664,0.54,9.152009199225084,A
79321,CHILLI LIGHTS,46286.51,88.33,524,9650,5.43,3.82,12.46,205,225.7878536585366,0.528,9.67991687174663,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,41.87,1019,15617,2.94,2.55,5.79,613,69.59352365415987,0.487,10.166472878521333,A
21137,BLACK RECORD COVER FRAME,39064.55,123.23,317,11406,3.66,3.39,7.46,140,279.0325,0.446,10.612012532917433,A
23203,JUMBO BAG DOILEY PATTERNS,37684.38,34.32,1098,19516,2.06,1.65,2.08,505,74.62253465346534,0.43,11.041811049509363,A
22386,JUMBO BAG PINK POLKADOT,37289.59,41.9,890,20165,2.02,1.65,4.13,372,100.24083333333333,0.425,11.467106900637106,A
22197,SMALL POPCORN HOLDER,37226.43,34.86,1068,49183,0.84,0.72,1.63,407,91.46542997542997,0.425,11.891682398283965,A
23298,SPOTTY BUNTING,36173.95,35.33,1024,7785,4.92,4.15,5.14,573,63.13080279232111,0.413,12.304254133556526,A
23284,DOORMAT KEEP CALM AND COME IN,35913.85,54.83,655,5342,7.91,4.58,16.63,378,95.01018518518518,0.41,12.713859371989669,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,34478.01,56.89,606,5921,7.46,4.77,16.63,285,120.97547368421053,0.393,13.107088544210141,A
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,28.77,1159,7020,4.95,3.39,10.79,640,52.1059375,0.38,13.487427426569473,A
22960,JAM MAKING SET WITH JARS,32662.97,36.82,887,8151,4.18,2.95,8.29,573,57.00343804537522,0.373,13.85995567443999,A
85099F,JUMBO BAG STRAWBERRY,30644.2,46.15,664,16807,2.01,1.65,4.13,315,97.2831746031746,0.35,14.20945941318125,A
22178,VICTORIAN GLASS HANGING T-LIGHT,28776.51,34.88,825,22433,1.43,0.9,2.46,403,71.40573200992556,0.328,14.537661742918209,A
22470,HEART OF WICKER LARGE,28520.95,34.82,819,9591,2.96,1.97,5.79,485,58.806082474226805,0.325,14.862949355499138,A
20725,LUNCH BAG RED RETROSPOT,28338.45,21.52,1317,17897,1.66,1.45,4.13,532,53.26776315789474,0.323,15.186155516049334,A
22469,HEART OF WICKER SMALL,28228.64,28.66,985,16775,1.64,1.1,3.29,573,49.26464223385689,0.322,15.50810926976394,A
23245,SET OF 3 REGENCY CAKE TINS,26625.68,36.62,727,5856,4.93,4.15,10.79,472,56.41033898305085,0.304,15.811780917466553,A
23199,JUMBO BAG APPLES,26451.26,36.43,726,13887,2.06,1.65,4.13,344,76.8931976744186,0.302,16.113463267288612,A
21175,GIN + TONIC DIET METAL SIGN,26107.44,37.24,701,11993,2.47,1.4,2.67,343,76.11498542274052,0.298,16.41122427553693,A
22727,ALARM CLOCK BAKELIKE RED ,25925.2,28.84,899,7221,3.77,2.99,7.46,388,66.81752577319588,0.296,16.706906797110832,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27,36.0,713,9433,2.94,2.55,5.79,470,54.615468085106386,0.293,16.999670381598563,A
20685,DOORMAT RED RETROSPOT,25397.85,43.87,579,3901,7.76,4.58,15.79,329,77.19711246200607,0.29,17.289338362194883,A
22699,ROSES REGENCY TEACUP AND SAUCER ,24865.6,31.04,801,9132,2.92,2.55,5.79,423,58.783924349881794,0.284,17.572935916252252,A
22629,SPACEBOY LUNCH BOX ,24694.59,34.3,720,13919,1.93,1.65,4.13,322,76.69127329192547,0.282,17.854583064217692,A
23355,HOT WATER BOTTLE KEEP CALM,24426.3,33.01,740,5338,4.87,4.15,4.95,474,51.53227848101265,0.279,18.133170306619704,A
22457,NATURAL SLATE HEART CHALKBOARD ,24245.52,24.74,980,8480,2.98,2.55,5.79,587,41.30412265758092,0.277,18.409695713963544,A
23201,JUMBO BAG ALPHABET,24175.0,31.77,761,12540,2.06,1.65,4.13,396,61.0479797979798,0.276,18.68541682543227,A
21181,PLEASE ONE PERSON METAL SIGN,23930.92,33.56,713,11963,2.07,1.49,2.4,361,66.29063711911357,0.273,18.958354151631614,A
21915,RED  HARMONICA IN BOX ,23793.93,41.96,567,20975,1.26,0.98,2.46,349,68.17744985673353,0.271,19.229729077208003,A
48138,DOORMAT UNION FLAG,23697.99,45.57,520,3625,7.79,4.58,15.79,313,75.71242811501598,0.27,19.50000978630313,A
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23675.04,35.93,659,12793,2.01,1.65,2.08,306,77.36941176470589,0.27,19.77002874567714,A
